共同物种列表:
Acacia dealbata
Heteromorpha arborescens
Hippophae rhamnoides
Holodiscus discolor
Hunnemannia fumariifolia
Hyoscyamus niger
Hypericum annulatum
Hypericum australe
Hypericum balearicum
Hypericum calycinum
Hypericum canariense
Hypericum coris
Hypericum elodes
Hypericum empetrifolium
Hypericum frondosum
Hypericum hircinum
Hypericum humifusum
Hypericum hypericoides
Hypericum hyssopifolium
Hypericum kalmianum
Hypericum lanceolatum
Hypericum linariifolium
Hypericum maculatum
Hypericum montanum
Hypericum mutilum
Hypericum nummularium
Hypericum olympicum
Hypericum patulum
Hypericum perfoliatum
Hypericum prolificum
Hypericum pulchrum
Hypericum punctatum
Hypericum revolutum
Hypericum tetrapetalum
Hypericum tetrapterum
Hypericum tomentosum
Hypericum triquetrifolium
Hypericum x hidcoteense
Hypericum x inodorum
Ibicella lutea
Illicium floridanum
Illicium verum
Iva annua
Iva frutescens
Iva xanthiifolia
Keckiella cordifolia
Kigelia africana
Kniphofia linearifolia
Kniphofia uvaria
Lactuca biennis
Lactuca canadensis
Lactuca floridana
Lactuca macrophylla
Lactuca saligna
Lactuca sativa
Lactuca tenerrima
Lactuca virosa
Lagenaria siceraria
Lagenaria sphaerica
Lamium bifidum
Lamium flexuosum
Lamium garganicum
Lamium hybridum
Lamium orvala
Lapageria rosea
Lathraea squamaria
Lavandula angustifolia
Lavandula canariensis
Lavandula dentata
Lavandula latifolia
Lavandula minutolii
Lavandula multifida
Lavandula pinnata
Lavandula spp
Lavandula x intermedia
Leersia oryzoides
Leersia virginica
Leonitis nepetifolia
Leptinella potentillina
Leucophyta brownii
Limbarda crithmoides
Limnanthes douglasii
Limonia acidissima
Liriodendron chinensis
Liriope muscari
Lithops aucampiae
Lithops fulviceps
Lithops karasmontana
Lithops marmorata
Lithops olivacea
Lithops pseudotruncatella
Lithops spp
Lomatia ferruginea
Loropetalum chinense
Luffa acutangula
Luffa cylindrica
Lupinus albifrons
Lupinus albus
Lupinus arboreus
Lupinus argenteus
Lupinus bicolor
Lupinus chamissonis
Lupinus cosentinii
Lupinus diffusus
Lupinus formosus
Lupinus hirsutissimus
Lupinus luteus
Lupinus micranthus
Lupinus nootkatensis
Lupinus perennis
Lupinus pilosus
Lupinus polyphyllus
Lupinus subcarnosus
Lupinus texensis
Lupinus x regalis
Lycoris radiata
Lycoris squamigera
Lyonothamnus floribundus
Macrosyringion longiflorum
Maerua angolensis
Maerua triphylla
Maianthemum bifolium
Maianthemum canadense
Maianthemum racemosum
Maianthemum stellatum
Maianthemum trifolium
Margaritopsis haematocarpa
Maurandya barclayana
Mauritia flexuosa
Maytenus boaria
Maytenus ilicifolia
Mazus pumilus
Mecardonia procumbens
Melampodium divaricatum
Melampodium leucanthum
Melampodium perfoliatum
Melilotus altissimus
Melilotus indicus
Melilotus italicus
Melilotus officinalis
Melilotus spicatus
Melilotus sulcatus
Mercurialis ambigua
Mercurialis tomentosa
Mertensia ciliata
Mertensia maritima
Mertensia paniculata
Mertensia virginica
Metasequoia glyptostroboides
Meum athamanticum
Microchloa kunthii
Mitella diphylla
Moehringia ciliata
Moehringia lateriflora
Moehringia muscosa
Moehringia pentandra
Moehringia trinervia
Montanoa hibiscifolia
Morinda citrifolia
Mussaenda arcuata
Mussaenda erythrophylla
Mussaenda frondosa
Mussaenda philippica
Mussaenda pubescens
Myosurus minimus
Nandina domestica
Narthecium ossifragum
Neobuxbaumia polylopha
Neolamarckia cadamba
Neotinea conica
Neotinea lactea
Neotinea maculata
Neotinea tridentata
Nepenthes alata
Nepenthes mirabilis
Nepenthes spp
Nepenthes truncata
Nepenthes vieillardii
Nepenthes x neglecta
Nephrolepis abrupta
Nephrolepis biserrata
Nephrolepis cordifolia
Nephrolepis exaltata
Nephrolepis falcata
Noccaea caerulescens
Noccaea montana
Noccaea rotundifolia
Nothofagus alpina
Nothofagus antarctica
Nothofagus betuloides
Nothofagus dombeyi
Nothofagus nitida
Nothofagus obliqua
Nothofagus pumilio
Nyctaginia capitata
Nymphaea alba
Nymphaea ampla
Nymphaea candida
Nymphaea lotus
Nymphaea mexicana
Nymphaea nouchali
Nymphaea odorata
Nymphaea rubra
Nymphaea tetragona
Nymphoides indica
Nymphoides peltata
Oldenlandia corymbosa
Oncostema elongata
Oncostema peruviana
Ophrys araneola
Ophrys aveyronensis
Ophrys aymoninii
Ophrys bombyliflora
Ophrys catalaunica
Ophrys druentica
Ophrys exaltata
Ophrys fusca
Ophrys incubacea
Ophrys lunulata
Ophrys morisii
Ophrys occidentalis
Ophrys provincialis
Ophrys pseudoscolopax
Ophrys saratoi
Ophrys sulcata
Ophrys tenthredinifera
Oreopteris limbosperma
Osmunda cinnamomea
Osmunda claytoniana
Othonna capensis
Oxydendrum arboreum
Paederia foetida
Paederota bonarota
Pancratium canariense
Pancratium illyricum
Papaver argemone
Papaver atlanticum
Papaver croceum
Papaver dubium
Papaver hybridum
Papaver nudicaule
Papaver orientale
Papaver pseudoorientale
Papaver rhaeticum
Papaver rupifragum
Patzkea paniculata
Pelargonium alchemilloides
Pelargonium capitatum
Pelargonium crispum
Pelargonium echinatum
Pelargonium glechomoides
Pelargonium grandiflorum
Pelargonium graveolens
Pelargonium inquinans
Pelargonium odoratissimum
Pelargonium panduriforme
Pelargonium peltatum
Pelargonium quercifolium
Pelargonium quinquelobatum
Pelargonium sidoides
Pelargonium spp
Pelargonium tomentosum
Pelargonium x asperum
Pelargonium x hortorum
Pelargonium x hybridum
Pelargonium zonale
Peperomia albovittata
Peperomia argyreia
Peperomia caperata
Peperomia clusiifolia
Peperomia columella
Peperomia dolabriformis
Peperomia ferreyrae
Peperomia graveolens
Peperomia maculosa
Peperomia magnoliifolia
Peperomia obtusifolia
Peperomia pecuniifolia
Peperomia pellucida
Peperomia polybotrya
Peperomia prostrata
Peperomia quadrangularis
Peperomia rotundifolia
Peperomia serpens
Peperomia tetragona
Peperomia verticillata
Pereskia aculeata
Pereskia bleo
Pereskia grandifolia
Perovskia abrotanoides
Petiveria alliacea
Phalaris aquatica
Phalaris arundinacea
Phalaris canariensis
Phalaris coerulescens
Phalaris minor
Phalaris paradoxa
Phedimus aizoon
Phedimus spurius
Phedimus stellatus
Phyllanthus acidus
Phyllanthus amarus
Phyllanthus emblica
Phyllanthus epiphyllanthus
Phyllanthus fischeri
Phyllanthus mimosoides
Phyllanthus niruri
Phyllanthus niruroides
Phyllanthus phillyreifolius
Phyllanthus reticulatus
Phyllanthus suffrutescens
Phyllanthus tenellus
Phyllanthus urinaria
Pilocarpus racemosus
Pilosocereus chrysostele
Pilosocereus pachycladus
Pilosocereus royeni
Piriqueta cistoides
Pleurospermum austriacum
Pogonophora schomburgkiana
Pongamia pinnata
Prosopis alba
Prosopis farcta
Prosopis glandulosa
Prosopis juliflora
Prosopis pallida
Prosopis pubescens
Pterocephalus perennis
Pyracantha koidzumii
Pyracantha rogersiana
Raphia farinifera
Rhodanthe chlorocephala
Rhodothamnus chamaecistus
Rumohra adiantiformis
Sagittaria graminea
Sagittaria lancifolia
Sagittaria latifolia
Sagittaria montevidensis
Sagittaria sagittifolia
Sagotia racemosa
Sasa palmata
Schefflera actinophylla
Schefflera arboricola
Schefflera decaphylla
Schefflera heptaphylla
Schefflera morototoni
Schefflera spp
Schinopsis balansae
Schkuhria pinnata
Secale cereale
Sedum adolphii
Sedum albomarginatum
Sedum allantoides
Sedum alpestre
Sedum amplexicaule
Sedum andegavense
Sedum anglicum
Sedum annuum
Sedum atratum
Sedum brevifolium
Sedum burrito
Sedum caeruleum
Sedum caespitosum
Sedum cepaea
Sedum clavatum
Sedum compressum
Sedum cyaneum
Sedum decumbens
Sedum dendroideum
Sedum divergens
Sedum forsterianum
Sedum furfuraceum
Sedum glaucophyllum
Sedum hernandezii
Sedum hirsutum
Sedum hispanicum
Sedum japonicum
Sedum kamtschaticum
Sedum lanceolatum
Sedum laxum
Sedum lineare
Sedum litoreum
Sedum makinoi
Sedum mexicanum
Sedum montanum
Sedum moranense
Sedum morganianum
Sedum multiceps
Sedum niveum
Sedum nussbaumerianum
Sedum obtusatum
Sedum ochroleucum
Sedum oreganum
Sedum pachyphyllum
Sedum palmeri
Sedum praealtum
Sedum pulchellum
Sedum rubens
Sedum rubrotinctum
Sedum sarmentosum
Sedum sexangulare
Sedum spathulifolium
Sedum ternatum
Sedum villosum
Selenicereus anthonyanus
Selenicereus grandiflorus
Smilax anceps
Smilax bona-nox
Smilax china
Smilax excelsa
Smilax glauca
Smilax herbacea
Smilax laurifolia
Smilax rotundifolia
Smilax tamnoides
Spergularia rubra
Stanleya pinnata
Stemodia verticillata
Stenanona costaricensis
Stenocactus multicostatus
Stoebe passerinoides
Striga asiatica
Strongylodon macrobotrys
Tagetes erecta
Tagetes lemmonii
Tagetes lucida
Tagetes lunulata
Tagetes minuta
Tagetes patula
Tagetes tenuifolia
Telekia speciosa
Tephrocactus geometricus
Tetraclinis articulata
Thapsia garganica
Thapsia villosa
Thesium alpinum
Thesium humifusum
Thesium linophyllon
Thesium pyrenaicum
Trachelospermum asiaticum
Trachelospermum jasminoides
Tradescantia cerinthoides
Tradescantia crassifolia
Tradescantia fluminensis
Tradescantia occidentalis
Tradescantia ohiensis
Tradescantia pallida
Tradescantia sillamontana
Tradescantia spathacea
Tradescantia subaspera
Tradescantia virginiana
Tradescantia x andersoniana
Tradescantia zebrina
Triadica sebifera
Trifolium alexandrinum
Trifolium alpestre
Trifolium angustifolium
Trifolium arvense
Trifolium aureum
Trifolium badium
Trifolium dubium
Trifolium fragiferum
Trifolium glomeratum
Trifolium hirtum
Trifolium hybridum
Trifolium lappaceum
Trifolium medium
Trifolium michelianum
Trifolium micranthum
Trifolium montanum
Trifolium nigrescens
Trifolium ochroleucon
Trifolium pallescens
Trifolium pannonicum
Trifolium patens
Trifolium purpureum
Trifolium rubens
Trifolium spadiceum
Trifolium spumosum
Trifolium squamosum
Trifolium striatum
Trifolium thalii
Trifolium tomentosum
Trimezia martinicensis
Trinia glauca
Uncinia rubra
Urera baccifera
Vaccaria hispanica
Vangueria madagascariensis
Vanilla planifolia
Vanilla pompona
Vepris lanceolata
Viscaria alpina
Viscaria vulgaris
Vismia cayennensis
Vismia macrophylla
Vismia sessilifolia
Wigandia caracasana
Wigandia urens
Wodyetia bifurcata
Xylococcus bicolor
Xylopia crinita
Xylopia frutescens
Xylopia nitida
Xylopia sericea
Zaleya pentandra
Zamia furfuracea
Zamia pumila
Zamioculcas zamiifolia
Zannichellia palustris
